Region,Area,Landmark,Traffic_Index,Pollution_Index,Max_Traffic_Time,Date,Time
Industrial,North,Hospital,11,97,Morning,8/1/18,04:20:31
Downtown,West,Mall,38,110,Afternoon,6/11/23,00:24:11
Residential,West,Stadium,72,104,Morning,12/8/24,16:52:18
Industrial,West,School,60,86,Evening,9/16/18,11:26:37
Residential,South,Park,39,52,Night,4/22/18,12:17:19
Suburb,North,Hospital,27,142,Evening,6/30/20,19:58:49
Residential,South,Park,32,54,Afternoon,8/10/24,10:10:05
Downtown,North,Stadium,78,72,Night,12/22/22,13:03:22
Downtown,South,Stadium,29,33,Morning,12/15/23,22:39:18
Residential,South,Park,20,33,Morning,6/7/20,16:48:36
Suburb,East,Hospital,58,106,Morning,8/19/23,06:13:49
Suburb,North,School,33,54,Evening,8/6/21,23:34:08
Downtown,East,School,95,69,Evening,7/17/19,14:16:37
Downtown,North,School,52,36,Morning,11/10/23,17:45:36
Downtown,West,Mall,96,64,Evening,4/20/20,22:10:18
Residential,West,Hospital,16,35,Afternoon,9/30/19,14:51:19
Suburb,North,Mall,95,100,Morning,5/5/18,12:50:27
Suburb,South,Park,58,123,Evening,3/14/18,13:26:11
Residential,East,Stadium,74,111,Morning,5/1/22,09:09:15
Industrial,North,Hospital,80,80,Afternoon,6/26/19,12:19:28
Residential,South,Stadium,87,138,Evening,9/17/18,09:02:54
Downtown,East,Hospital,53,28,Night,9/28/23,01:24:55
Suburb,North,Stadium,80,95,Morning,12/16/19,19:36:07
Residential,West,Hospital,21,37,Evening,8/10/23,10:36:01
Industrial,North,School,77,69,Afternoon,11/6/20,17:33:06
Industrial,West,Hospital,60,101,Evening,2/12/19,15:12:41
Industrial,South,Mall,78,69,Afternoon,12/24/24,11:51:18
Residential,North,Hospital,68,34,Morning,6/6/21,07:57:51
Residential,South,Mall,34,59,Evening,2/13/18,04:57:22
Suburb,East,Hospital,35,87,Night,7/15/24,18:33:18
Suburb,West,Stadium,98,140,Night,9/26/22,21:51:35
Industrial,South,Park,14,135,Evening,11/17/19,01:09:42
Suburb,North,Hospital,32,135,Night,12/19/23,17:46:44
Suburb,North,Hospital,96,58,Night,9/10/20,09:13:14
Downtown,East,Stadium,71,117,Afternoon,7/6/18,13:45:53
Downtown,North,Stadium,23,110,Night,1/19/24,15:26:16
Residential,South,Mall,43,33,Afternoon,10/28/19,06:31:34
Suburb,South,School,13,137,Afternoon,4/8/21,03:09:35
Residential,South,School,34,117,Night,12/19/21,04:02:58
Industrial,North,Park,57,129,Evening,9/9/24,05:41:42
Suburb,West,Park,43,98,Morning,1/23/22,15:17:59
Industrial,South,School,29,104,Night,11/26/22,08:56:04
Downtown,West,Hospital,97,59,Afternoon,11/26/23,00:19:11
Residential,East,Park,16,110,Afternoon,4/23/18,17:12:58
Residential,North,Mall,45,113,Night,5/26/24,03:10:26
Suburb,East,Park,34,132,Evening,1/16/24,23:59:21
Residential,East,Stadium,99,142,Night,6/29/23,08:46:37
Downtown,South,School,77,55,Evening,1/12/18,17:19:50
Downtown,East,School,73,88,Evening,7/14/18,18:53:26
Residential,North,Stadium,75,44,Morning,9/14/20,19:19:54
Suburb,West,School,67,136,Afternoon,10/24/22,16:16:51
Residential,West,School,51,61,Evening,9/7/22,07:38:35
Industrial,West,Stadium,71,110,Night,1/11/24,19:21:17
Residential,North,School,71,76,Night,4/22/22,01:47:35
Industrial,West,Stadium,67,94,Night,11/4/19,00:03:55
Residential,South,Park,83,107,Night,6/13/24,19:57:50
Suburb,South,Stadium,35,31,Afternoon,4/28/19,02:13:45
Industrial,South,School,18,81,Evening,2/27/25,06:16:54
Industrial,East,Hospital,26,28,Night,7/27/19,02:08:16
Downtown,East,Mall,78,87,Afternoon,12/11/18,01:28:20
Suburb,North,Park,24,128,Night,4/7/23,10:10:55
Suburb,West,Hospital,74,85,Afternoon,12/26/19,05:38:48
Suburb,South,Hospital,56,23,Evening,5/31/22,02:56:13
Industrial,South,School,22,74,Night,5/2/23,16:59:44
Residential,West,Park,67,113,Morning,3/4/25,11:32:43
Residential,South,School,91,85,Night,1/5/21,00:58:21
Residential,East,Stadium,41,20,Evening,12/6/23,06:14:02
Residential,South,Stadium,61,56,Night,1/30/21,07:14:12
Residential,East,Hospital,39,124,Afternoon,5/26/20,14:19:40
Residential,South,Mall,16,114,Morning,1/13/20,00:27:02
Residential,East,Hospital,98,91,Morning,12/1/23,16:07:36
Industrial,South,School,33,102,Evening,8/26/20,12:47:18
Industrial,North,Stadium,58,65,Morning,4/1/22,22:55:32
Residential,North,Mall,33,74,Morning,7/5/18,10:09:44
Downtown,East,Mall,63,53,Night,12/22/20,18:11:52
Suburb,West,Mall,51,29,Evening,9/22/21,16:42:30
Industrial,East,School,38,115,Afternoon,8/19/24,23:40:37
Residential,West,Park,70,67,Night,5/16/18,03:12:19
Industrial,South,Park,17,29,Night,5/22/18,04:20:25
Industrial,South,Mall,63,31,Evening,8/8/20,07:22:57
Residential,West,Mall,79,110,Afternoon,2/3/25,13:51:58
Residential,East,Mall,11,42,Afternoon,3/2/22,15:50:55
Industrial,West,Hospital,17,126,Morning,9/5/20,01:59:18
Industrial,West,School,78,27,Evening,2/24/20,14:59:51
Downtown,East,Park,52,43,Night,1/12/20,14:41:25
Suburb,North,Mall,58,79,Afternoon,7/6/23,12:11:26
Suburb,West,Park,91,97,Morning,4/5/21,23:49:27
Downtown,West,Stadium,27,79,Afternoon,1/16/18,07:12:44
Downtown,West,School,20,83,Evening,5/17/18,17:01:30
Suburb,East,School,17,31,Night,9/2/20,14:39:57
Suburb,North,Park,56,142,Afternoon,7/13/18,13:26:44
Suburb,East,Mall,91,84,Afternoon,1/9/25,04:42:46
Downtown,West,School,77,144,Afternoon,7/8/18,05:06:36
Residential,North,Hospital,69,111,Night,7/18/24,15:07:46
Residential,South,Stadium,88,102,Afternoon,2/15/22,02:57:34
Suburb,East,Stadium,62,103,Afternoon,2/27/19,04:35:28
Residential,West,Hospital,90,80,Evening,4/30/22,04:22:04
Industrial,West,Park,91,117,Night,5/8/18,22:07:34
Industrial,West,Mall,52,146,Evening,7/24/19,14:07:51
Downtown,West,Mall,77,72,Night,4/17/20,17:13:22
Suburb,South,Mall,68,61,Morning,12/15/23,02:54:04
Suburb,East,Mall,27,60,Evening,5/16/24,11:10:05
Residential,North,Hospital,17,23,Night,4/3/19,21:51:37
Suburb,South,Mall,60,104,Afternoon,9/6/18,06:02:05
Suburb,West,Park,36,76,Night,4/10/20,02:59:35
Downtown,North,Park,21,81,Morning,2/12/19,05:24:41
Suburb,West,Park,55,104,Night,6/22/21,08:17:15
Downtown,East,Park,64,53,Morning,11/29/22,11:28:16
Suburb,East,Stadium,85,140,Night,1/11/18,07:37:11
Residential,West,School,54,54,Morning,10/21/21,16:36:34
Suburb,North,Stadium,42,116,Night,7/15/21,09:08:51
Residential,South,Mall,96,145,Morning,5/18/21,13:41:47
Downtown,North,Stadium,31,129,Night,9/11/19,04:33:21
Industrial,East,Mall,12,139,Morning,10/7/18,05:01:00
Downtown,West,School,41,62,Morning,9/12/21,06:25:35
Industrial,West,Stadium,97,71,Night,1/31/22,04:49:29
Industrial,South,Park,72,134,Night,1/22/20,11:42:32
Industrial,West,Stadium,31,60,Night,4/4/19,06:13:58
Downtown,South,Stadium,67,82,Evening,4/27/19,19:18:45
Downtown,North,Hospital,28,86,Morning,10/25/18,10:58:26
Industrial,South,Mall,93,62,Night,12/4/24,13:23:39
Residential,East,School,38,118,Morning,12/21/20,08:36:11
Residential,South,Hospital,86,47,Night,12/6/18,15:46:59
Industrial,West,Mall,79,92,Night,10/15/20,20:04:50
Industrial,East,School,90,21,Night,8/16/19,15:40:33
Industrial,South,Mall,84,65,Afternoon,10/30/20,10:21:56
Residential,South,Mall,52,81,Evening,8/25/24,16:59:27
Industrial,South,Park,72,93,Morning,1/13/19,18:53:59
Residential,West,Park,76,63,Afternoon,3/2/22,07:12:58
Residential,South,Mall,34,136,Evening,6/21/21,10:07:00
Downtown,South,School,92,26,Afternoon,9/10/21,02:24:13
Suburb,South,Hospital,54,81,Morning,11/16/23,10:56:41
Suburb,West,Park,74,74,Night,10/21/23,19:49:13
Residential,North,Mall,24,111,Afternoon,5/30/19,12:07:30
Downtown,South,School,62,114,Morning,1/15/24,01:38:57
Residential,South,Mall,50,140,Morning,2/27/23,23:41:25
Suburb,East,Hospital,58,91,Evening,9/17/20,19:49:52
Industrial,North,Park,22,87,Afternoon,5/3/18,11:21:15
Industrial,South,School,52,57,Evening,6/16/22,07:38:44
Suburb,West,Stadium,54,31,Evening,9/16/24,01:20:01
Suburb,South,Stadium,19,32,Morning,8/15/22,20:11:18
Residential,East,Mall,92,129,Afternoon,2/9/19,14:03:38
Downtown,East,Hospital,35,56,Night,8/16/21,12:14:55
Industrial,East,School,73,116,Afternoon,2/29/24,06:10:05
Residential,North,Hospital,42,130,Afternoon,6/20/20,14:26:11
Downtown,East,School,48,37,Evening,9/1/21,04:35:40
Industrial,West,Mall,90,143,Night,2/1/22,14:14:03
Industrial,West,Mall,16,91,Afternoon,8/5/23,23:16:08
Downtown,West,Stadium,46,93,Morning,8/15/20,02:57:26
Industrial,West,Hospital,10,37,Morning,7/14/18,06:09:57
Suburb,North,Park,18,44,Morning,7/9/22,21:54:57
Industrial,East,School,18,26,Night,8/3/24,22:41:02
Residential,South,Park,57,57,Night,2/4/21,11:21:49
Downtown,West,Stadium,57,119,Evening,2/21/18,18:33:33
Suburb,South,Hospital,67,139,Afternoon,7/20/21,14:16:42
Downtown,West,Hospital,24,131,Afternoon,6/27/23,14:30:30
Suburb,North,Mall,71,127,Night,1/2/21,13:19:57
Downtown,West,Hospital,71,67,Night,2/11/21,06:37:45
Downtown,West,Stadium,91,100,Evening,9/29/18,14:56:44
Downtown,West,School,52,47,Afternoon,11/4/20,16:27:09
Downtown,East,Hospital,29,110,Morning,1/31/20,21:10:18
Residential,West,Mall,40,55,Afternoon,5/23/20,13:38:48
Residential,North,Mall,18,108,Evening,1/31/25,22:51:54
Industrial,South,Mall,54,58,Morning,12/28/22,08:10:09
Downtown,West,Mall,86,100,Afternoon,1/31/25,08:17:27
Suburb,West,Stadium,94,48,Evening,7/25/21,11:52:09
Suburb,North,Stadium,20,35,Night,8/9/20,14:22:23
Industrial,West,Hospital,26,77,Afternoon,9/7/19,16:28:41
Suburb,West,School,31,112,Morning,11/19/23,07:01:49
Downtown,South,Mall,75,131,Evening,3/3/25,14:09:53
Industrial,South,Stadium,95,135,Night,3/8/19,07:21:14
Residential,East,Park,16,54,Night,12/14/20,08:46:40
Industrial,North,Stadium,80,34,Night,7/17/18,10:28:44
Downtown,North,Hospital,12,36,Evening,10/13/23,05:18:27
Industrial,North,Mall,33,46,Evening,3/11/19,14:55:17
Residential,South,Park,84,36,Night,2/24/21,13:57:33
Residential,South,Mall,52,86,Afternoon,3/31/21,14:03:39
Downtown,North,Hospital,37,95,Morning,3/17/24,18:29:15
Suburb,East,School,30,36,Afternoon,7/3/19,05:04:34
Downtown,East,Stadium,27,110,Afternoon,7/23/18,10:50:50
Downtown,North,Park,72,139,Morning,2/8/21,03:45:05
Suburb,West,Hospital,85,121,Night,5/4/20,06:37:21
Industrial,East,Park,81,47,Morning,12/19/20,23:35:08
Industrial,West,Hospital,97,140,Night,12/23/23,08:01:02
Suburb,East,Hospital,53,43,Night,9/27/24,00:37:42
Suburb,West,Mall,44,41,Night,3/27/21,06:12:44
Industrial,South,Hospital,44,109,Evening,7/29/23,17:28:38
Suburb,East,Hospital,77,104,Morning,6/30/23,17:07:52
Residential,North,School,25,89,Night,10/9/20,04:27:17
Residential,South,Hospital,98,91,Evening,7/9/22,09:16:13
Downtown,North,Mall,52,145,Afternoon,5/22/18,08:59:38
Downtown,East,Stadium,12,77,Morning,2/25/20,06:22:06
Suburb,North,Stadium,98,102,Morning,1/19/19,09:04:57
Industrial,South,Park,32,136,Afternoon,4/22/18,17:28:24
Residential,North,Mall,82,136,Afternoon,3/3/20,06:34:19
Residential,South,Stadium,97,21,Night,11/28/22,23:24:37
Downtown,North,Hospital,94,144,Evening,6/15/18,06:45:58
Downtown,North,Park,15,38,Night,12/19/23,13:41:31
Industrial,East,Stadium,76,115,Evening,11/26/23,13:03:10
Suburb,West,Stadium,51,70,Afternoon,4/6/23,07:48:52
Downtown,West,School,77,130,Afternoon,11/18/22,01:06:59
Downtown,South,School,17,103,Evening,6/6/18,20:11:00
Suburb,West,Park,32,127,Afternoon,6/4/24,07:44:21
Downtown,North,Stadium,24,43,Night,9/6/18,23:02:37
Downtown,North,Park,45,81,Night,6/26/23,21:30:51
Suburb,East,School,76,21,Night,2/21/21,13:02:07
Downtown,East,Stadium,99,35,Morning,7/15/19,06:33:50
Industrial,West,Hospital,93,35,Evening,9/4/18,08:25:24
Downtown,North,Park,85,78,Afternoon,4/4/24,02:24:58
Suburb,South,Mall,83,93,Evening,10/31/20,14:06:03
Suburb,West,Mall,30,73,Night,1/19/22,11:14:00
Residential,West,Mall,98,85,Morning,9/9/19,15:39:55
Residential,East,School,55,37,Afternoon,2/22/25,17:21:42
Industrial,North,Hospital,21,115,Night,6/10/22,10:01:44
Industrial,East,Stadium,99,80,Evening,7/15/24,11:01:18
Residential,West,School,25,42,Evening,9/25/19,17:30:41
Residential,East,Hospital,95,44,Afternoon,8/13/20,21:24:11
Suburb,West,Hospital,36,66,Afternoon,4/3/22,13:14:10
Industrial,South,School,54,56,Evening,7/26/20,10:27:28
Residential,West,School,42,51,Afternoon,9/24/18,23:51:17
Downtown,South,Mall,28,55,Night,5/16/18,10:35:35
Downtown,West,School,33,149,Evening,12/21/20,18:23:30
Downtown,West,Hospital,57,85,Morning,12/6/21,05:46:46
Industrial,South,Hospital,51,40,Afternoon,1/1/22,20:57:34
Residential,West,Hospital,31,22,Night,4/23/23,20:06:15
Residential,South,Park,56,110,Night,3/28/18,06:36:17
Industrial,West,Hospital,62,123,Night,11/5/19,14:08:40
Industrial,East,Mall,84,90,Evening,10/9/19,03:56:48
Industrial,West,School,38,97,Morning,10/12/21,20:15:15
Residential,North,School,95,131,Evening,12/12/21,09:41:19
Suburb,South,School,99,131,Afternoon,10/26/19,18:58:54
Downtown,South,Mall,28,111,Afternoon,11/6/21,05:29:09
Suburb,South,Mall,97,148,Afternoon,4/12/21,14:31:23
Residential,West,Hospital,39,86,Morning,4/19/21,05:11:54
Downtown,East,Stadium,29,132,Night,8/2/18,02:13:55
Industrial,North,Stadium,26,20,Evening,3/3/22,20:00:11
Downtown,West,School,78,56,Night,3/22/20,13:42:54
Residential,East,Mall,33,142,Afternoon,1/20/20,11:41:30
Residential,East,Mall,94,117,Night,8/4/24,02:50:04
Residential,South,Mall,62,58,Morning,7/11/18,21:07:52
Residential,South,School,80,58,Afternoon,2/22/19,18:28:03
Residential,North,Stadium,92,135,Afternoon,1/4/19,07:27:26
Industrial,West,Hospital,71,140,Night,6/26/23,03:56:06
Residential,South,Stadium,47,137,Morning,9/24/19,20:32:00
Industrial,East,Mall,21,142,Morning,3/26/25,15:46:41
Suburb,East,School,92,118,Morning,10/26/18,20:23:22
Downtown,West,School,68,71,Afternoon,8/13/18,18:22:19
Residential,West,Mall,34,117,Morning,3/28/19,06:04:44
Residential,South,Hospital,52,94,Evening,5/24/21,05:51:06
Downtown,East,Stadium,17,134,Evening,11/28/19,20:51:35
Residential,East,School,62,26,Morning,8/29/23,15:32:37
Suburb,West,Hospital,17,141,Night,9/22/19,12:51:17
Suburb,North,Stadium,30,96,Afternoon,10/6/23,05:19:20
Industrial,West,Park,93,117,Afternoon,8/19/22,04:59:49
Industrial,West,Stadium,47,32,Morning,8/9/21,11:29:54
Residential,East,School,26,33,Evening,1/29/25,15:12:02
Residential,South,School,23,105,Night,3/1/18,23:15:04
Suburb,South,Hospital,11,77,Morning,2/27/25,15:14:34
Residential,North,School,96,83,Afternoon,8/9/19,11:02:05
Industrial,North,Park,71,81,Afternoon,6/13/24,20:59:43
Residential,East,Mall,23,122,Afternoon,12/27/23,19:51:39
Residential,South,Mall,35,40,Morning,9/19/19,22:20:10
Downtown,North,School,64,38,Afternoon,6/2/19,19:54:19
Residential,West,Park,92,68,Evening,4/10/22,08:44:15
Industrial,South,School,11,62,Morning,5/18/24,22:14:37
Residential,West,Stadium,63,24,Evening,2/6/21,13:45:13
Downtown,East,Stadium,84,45,Evening,6/23/20,11:56:36
Industrial,West,School,58,60,Afternoon,8/25/19,23:08:20
Downtown,East,Stadium,22,93,Evening,10/27/19,23:09:51
Industrial,West,Mall,52,107,Evening,5/21/22,10:51:07
Residential,West,School,80,30,Evening,6/16/20,07:14:18
Residential,East,Hospital,38,69,Night,3/31/21,07:39:10
Suburb,West,Hospital,32,129,Evening,10/25/22,03:32:51
Industrial,East,Stadium,51,113,Afternoon,7/9/20,09:19:59
Suburb,North,Stadium,72,114,Morning,4/6/18,14:41:59
Residential,West,School,92,146,Afternoon,1/30/18,16:52:33
Downtown,East,Mall,56,20,Morning,8/14/23,09:10:28
Downtown,South,School,59,72,Afternoon,1/1/24,23:10:01
Suburb,North,Mall,21,49,Evening,8/6/24,07:45:18
Downtown,East,School,24,122,Night,6/5/22,13:49:15
Residential,South,Hospital,26,36,Evening,1/16/23,20:24:54
Industrial,South,Park,22,111,Night,11/22/20,20:35:14
Suburb,South,Stadium,15,61,Afternoon,9/17/22,02:45:18
Industrial,North,Hospital,25,94,Afternoon,2/13/23,17:37:05
Downtown,North,Stadium,11,103,Afternoon,5/23/24,10:04:02
Industrial,East,Mall,41,98,Night,5/21/23,14:15:47
Residential,North,School,83,99,Night,3/21/18,05:38:24
Residential,East,Stadium,14,84,Night,12/2/21,00:27:29
Downtown,West,School,73,22,Morning,8/30/22,23:47:47
Suburb,West,School,60,85,Evening,5/18/19,21:36:26
Downtown,South,Mall,94,37,Afternoon,3/4/21,10:07:24
Residential,South,Mall,25,106,Evening,9/28/21,10:34:10
Industrial,North,Park,83,40,Night,12/19/18,10:15:07
Downtown,East,Hospital,11,126,Morning,3/15/22,06:34:08
Downtown,West,Mall,14,46,Night,4/14/18,06:38:47
Downtown,East,Park,64,118,Morning,3/3/22,06:30:06
Industrial,West,Stadium,94,90,Evening,5/25/22,14:03:48
Residential,South,Mall,88,71,Night,3/26/22,16:27:24
Industrial,East,Mall,73,37,Afternoon,11/2/23,21:57:18
Suburb,North,Hospital,49,52,Evening,7/27/18,17:51:47
Suburb,North,Mall,53,28,Night,9/4/18,08:42:37
Downtown,South,School,56,37,Night,8/28/20,12:29:15
Downtown,West,Mall,62,81,Evening,1/30/25,05:58:30
Downtown,East,Mall,72,108,Evening,9/10/19,05:31:26
Downtown,North,Hospital,15,64,Night,5/1/24,09:08:26
Downtown,West,Mall,12,139,Afternoon,7/29/20,13:25:55
Suburb,South,School,72,55,Evening,4/29/20,02:25:49
Industrial,West,Mall,86,93,Night,8/5/18,14:16:01
Suburb,East,School,94,20,Morning,6/27/24,17:59:34
Downtown,East,Mall,44,109,Morning,12/1/20,12:39:56
Industrial,East,Stadium,99,139,Morning,9/6/19,02:31:54
Industrial,East,Park,48,90,Afternoon,4/12/21,05:34:12
Residential,East,School,97,132,Night,12/14/23,06:31:10
Industrial,North,Mall,24,137,Night,5/27/24,14:31:58
Residential,West,Stadium,57,126,Evening,2/14/19,09:31:42
Downtown,East,School,70,102,Morning,4/6/18,00:47:10
Residential,South,Hospital,85,74,Morning,5/3/24,12:45:52
Residential,East,Park,36,78,Night,5/23/19,05:33:24
Industrial,West,Stadium,69,119,Afternoon,2/11/22,08:30:53
Residential,South,School,58,105,Morning,4/2/24,16:56:35
Suburb,West,Stadium,28,68,Evening,2/12/22,01:37:06
Industrial,West,Stadium,52,145,Evening,3/12/24,14:37:33
Industrial,West,Mall,71,134,Afternoon,6/1/22,04:43:47
Suburb,South,Park,27,53,Afternoon,11/29/20,15:31:02
Residential,West,Mall,99,68,Morning,1/21/24,21:39:54
Suburb,North,Stadium,51,103,Night,9/7/23,19:27:37
Residential,North,Mall,42,73,Morning,8/13/18,07:39:35
Residential,South,Hospital,80,68,Evening,4/27/23,22:45:35
Industrial,South,Hospital,60,108,Evening,7/2/18,22:14:37
Suburb,East,School,88,70,Night,12/24/19,21:00:00
Suburb,North,Park,55,131,Morning,5/10/22,22:32:19
Suburb,South,Park,27,27,Night,1/6/25,15:40:02
Residential,East,Hospital,31,41,Morning,7/15/19,21:32:25
Suburb,North,Park,11,39,Night,7/29/24,14:25:33
Suburb,South,School,39,63,Afternoon,7/10/20,08:57:02
Industrial,West,Stadium,68,82,Morning,8/2/24,20:34:47
Residential,North,Hospital,41,136,Evening,3/4/25,15:00:23
Industrial,South,Mall,28,78,Afternoon,2/12/23,14:25:38
Suburb,East,School,53,73,Evening,10/11/18,12:07:29
Downtown,East,Hospital,19,61,Afternoon,9/5/21,12:26:16
Downtown,North,Park,47,143,Morning,7/28/19,09:10:23
Suburb,North,Stadium,89,83,Afternoon,11/20/18,15:53:45
Downtown,South,Park,36,141,Night,5/8/19,05:48:35
Industrial,West,Stadium,68,146,Evening,11/26/18,07:48:03
Industrial,West,Stadium,49,108,Night,3/6/24,01:06:56
Industrial,North,Park,11,30,Evening,6/29/20,10:28:19
Downtown,East,Park,32,69,Evening,2/22/18,14:31:07
Residential,West,Mall,63,111,Evening,10/25/23,14:21:23
Residential,North,Park,20,125,Afternoon,1/29/18,10:18:36
Residential,North,Park,99,107,Night,10/12/18,00:56:01
Suburb,West,Stadium,37,108,Morning,6/25/23,10:24:04
Industrial,North,Stadium,41,97,Night,11/4/24,22:09:47
Residential,West,School,11,48,Evening,1/16/24,03:50:18
Suburb,West,Mall,65,106,Night,7/24/22,15:42:23
Suburb,West,Hospital,74,42,Evening,12/15/24,10:10:00
Residential,North,Mall,68,91,Night,7/24/24,12:42:10
Downtown,South,Mall,94,105,Morning,9/16/23,18:06:05
Residential,South,School,37,101,Evening,11/25/22,07:40:18
Downtown,South,Mall,78,119,Night,11/10/24,17:23:31
Suburb,South,Stadium,98,126,Afternoon,1/20/23,15:06:09
Suburb,West,Mall,14,145,Afternoon,7/30/24,09:14:52
Industrial,North,Hospital,48,147,Morning,9/15/23,17:35:18
Downtown,South,School,83,38,Evening,7/25/18,05:43:00
Residential,North,Park,71,141,Afternoon,4/22/19,23:29:30
Industrial,North,Stadium,15,30,Morning,9/29/18,14:36:27
Downtown,East,Park,28,44,Night,10/1/22,08:14:57
Residential,North,Hospital,84,53,Morning,4/8/23,16:47:17
Industrial,East,Hospital,53,51,Morning,6/28/24,09:28:46
Residential,West,Hospital,55,65,Morning,1/18/19,21:31:55
Industrial,West,Mall,45,112,Afternoon,2/28/18,18:39:00
Industrial,East,School,38,147,Evening,10/11/23,03:50:50
Industrial,North,School,54,25,Afternoon,11/10/23,15:04:16
Industrial,East,Hospital,44,142,Morning,12/31/23,11:32:13
Residential,East,School,93,127,Morning,12/2/23,13:38:10
Suburb,East,Stadium,86,42,Night,3/11/23,18:51:40
Downtown,North,School,25,79,Morning,6/19/18,03:37:50
Residential,South,Stadium,76,27,Night,3/18/22,06:44:40
Suburb,South,School,97,102,Morning,2/25/24,17:38:51
Suburb,North,Stadium,56,66,Afternoon,1/12/20,13:30:51
Suburb,North,Park,50,71,Afternoon,11/29/23,02:28:04
Suburb,South,School,50,136,Night,2/24/21,06:12:01
Residential,West,Park,62,136,Night,12/27/22,22:40:07
Industrial,East,Mall,51,31,Afternoon,1/1/21,12:22:51
Suburb,North,Hospital,39,34,Night,3/9/24,05:18:41
Residential,West,Hospital,36,99,Night,5/9/19,13:58:13
Suburb,West,Stadium,78,73,Afternoon,12/4/18,08:10:05
Downtown,East,Mall,47,100,Evening,10/26/19,02:56:08
Downtown,West,Hospital,11,85,Night,7/3/23,00:33:38
Suburb,South,Hospital,17,127,Evening,9/19/21,01:51:50
Downtown,South,Park,96,137,Night,10/26/22,09:44:12
Industrial,West,Park,66,100,Evening,11/1/22,13:33:14
Downtown,North,Mall,69,93,Afternoon,9/30/21,10:11:55
Residential,East,Stadium,38,136,Evening,5/31/24,20:15:26
Industrial,East,School,82,107,Afternoon,5/17/21,13:51:14
Residential,North,Mall,40,133,Morning,1/11/19,03:11:16
Industrial,South,Stadium,44,53,Evening,2/1/21,03:39:39
Residential,West,Park,41,93,Night,2/1/22,02:05:35
Residential,North,Stadium,98,137,Afternoon,5/12/18,11:00:56
Residential,East,Stadium,46,106,Evening,5/31/23,18:31:06
Residential,East,Mall,64,45,Morning,2/19/19,23:43:35
Suburb,West,School,67,22,Night,9/29/18,01:12:13
Residential,North,Mall,27,34,Afternoon,3/19/20,22:56:26
Industrial,East,Park,23,135,Morning,2/17/19,01:51:25
Downtown,North,Hospital,28,85,Afternoon,5/8/20,10:28:17
Suburb,East,School,30,148,Evening,6/15/23,12:36:09
Downtown,West,School,16,146,Afternoon,11/8/24,15:21:13
Residential,East,School,15,74,Afternoon,11/13/19,13:32:31
Residential,North,Hospital,84,92,Night,5/4/23,09:18:24
Industrial,East,Hospital,93,137,Evening,12/24/18,08:39:21
Residential,West,Hospital,77,75,Morning,12/11/19,01:04:19
Residential,West,Stadium,26,28,Night,9/5/21,06:08:30
Industrial,West,Mall,47,83,Night,2/23/23,00:53:06
Suburb,West,School,68,35,Afternoon,7/10/21,07:30:18
Residential,East,School,90,144,Evening,5/17/22,03:26:23
Residential,North,Mall,21,120,Afternoon,6/7/22,15:28:53
Suburb,East,Mall,31,86,Afternoon,3/14/25,05:07:15
Suburb,East,School,89,57,Night,4/11/19,13:28:51
Residential,East,Hospital,80,66,Evening,7/16/20,06:38:07
Suburb,West,Stadium,35,107,Afternoon,5/7/18,12:54:51
Industrial,East,Park,75,46,Afternoon,2/24/23,00:37:33
Residential,East,School,54,50,Morning,6/26/19,05:39:54
Suburb,East,Mall,35,99,Afternoon,11/26/22,00:45:59
Residential,East,Park,51,103,Night,7/7/20,07:18:43
Downtown,East,School,27,142,Night,11/18/18,07:46:27
Downtown,South,Mall,96,79,Afternoon,8/17/24,07:14:11
Suburb,West,Stadium,38,60,Evening,4/3/24,03:58:47
Downtown,South,Stadium,36,130,Afternoon,11/30/18,07:35:39
Residential,North,School,28,101,Night,7/26/19,00:04:05
Residential,East,Mall,16,47,Night,3/5/19,09:15:07
Suburb,West,Stadium,97,42,Evening,9/11/21,23:45:46
Residential,North,Hospital,22,26,Morning,10/25/18,01:32:36
Industrial,West,Stadium,12,129,Morning,1/21/23,16:28:57
Downtown,South,Park,40,85,Night,8/7/24,06:21:29
Suburb,North,Hospital,74,96,Afternoon,10/6/22,07:26:57
Residential,West,School,57,95,Morning,1/22/24,12:54:09
Residential,West,Mall,52,39,Morning,6/8/23,21:02:45
Suburb,East,Stadium,33,100,Night,12/18/20,19:52:04
Suburb,West,Stadium,47,60,Afternoon,8/22/23,02:40:26
Downtown,East,School,51,134,Morning,5/13/21,08:06:05
Downtown,South,Park,27,81,Night,1/12/20,20:32:08
Residential,West,Stadium,10,140,Afternoon,9/15/23,10:04:01
Residential,West,Stadium,40,98,Night,6/9/22,03:00:24
Suburb,East,School,47,88,Afternoon,9/24/18,04:25:03
Residential,North,School,58,84,Afternoon,1/15/21,15:53:05
Suburb,East,Hospital,54,120,Afternoon,3/5/19,12:08:11
Suburb,South,School,49,125,Night,8/5/18,17:08:14
Suburb,North,Hospital,13,65,Morning,6/13/22,10:18:51
Industrial,North,Stadium,71,135,Morning,2/12/21,10:38:23
Suburb,North,Hospital,49,73,Evening,4/15/22,19:34:53
Residential,East,Stadium,98,68,Night,5/21/21,16:08:02
Downtown,East,School,39,35,Night,4/14/24,11:35:15
Downtown,South,Mall,17,22,Morning,10/3/20,04:10:26
Residential,South,Mall,48,79,Morning,5/21/23,13:58:17
